Marca de Tiempo, Uso de Memoria (%)
10:26:57,64.8
10:26:58,64.9
10:26:59,64.9
10:27:00,64.8
10:27:01,64.8
10:27:02,64.9
10:27:03,64.9
10:27:04,64.9
10:27:05,64.8
10:27:06,64.8
10:27:07,64.8
10:27:08,64.8
10:27:09,64.8
10:27:10,64.8
10:27:11,64.8
10:27:12,64.8
10:27:13,64.8
10:27:14,64.8
10:27:16,64.8
10:27:17,64.8
10:27:18,64.8
10:27:19,64.7
10:27:20,64.8
10:27:21,64.8
10:27:22,64.8
10:27:23,64.8
10:27:24,64.8
10:27:25,64.8
10:27:26,64.8
10:27:27,64.8
10:27:28,64.7
10:27:29,64.7
10:27:30,64.7
10:27:31,64.7
10:27:32,65.2
10:27:33,65.7
10:27:34,66.3
10:27:35,66.4
10:27:36,66.4
10:27:37,66.4
10:27:38,66.3
10:27:39,66.4
10:27:40,66.3
10:27:41,66.7
10:27:42,66.7
10:27:43,66.7
10:27:44,66.7
10:27:45,66.7
10:27:46,66.7
10:27:47,66.7
10:27:48,66.6
10:27:49,66.6
10:27:50,66.6
10:27:51,66.5
10:27:52,66.6
10:27:53,66.7
10:27:54,66.7
10:27:55,66.7
10:27:56,66.7
10:27:57,67.0
10:27:58,66.8
10:27:59,66.9
10:28:00,66.9
10:28:01,66.9
10:28:02,66.6
10:28:03,66.2
10:28:04,66.2
10:28:05,66.4
10:28:06,66.5
10:28:07,66.8
10:28:08,66.9
10:28:09,66.9
10:28:10,67.0
10:28:11,67.1
10:28:12,67.2
10:28:13,67.4
10:28:14,67.5
10:28:15,67.5
10:28:16,67.4
10:28:17,67.4
10:28:18,67.4
10:28:19,67.4
10:28:20,67.4
10:28:21,67.2
10:28:22,67.4
10:28:23,67.4
10:28:24,67.7
10:28:25,67.7
10:28:26,67.8
10:28:27,67.8
10:28:28,67.8
10:28:29,66.7
10:28:30,66.3
10:28:31,66.2
10:28:32,66.2
10:28:33,66.2
10:28:34,66.1
10:28:35,66.1
10:28:36,66.1
10:28:37,66.0
10:28:38,65.8
10:28:39,65.8
10:28:40,65.8
10:28:41,65.8
10:28:42,65.8
10:28:43,65.6
10:28:44,65.2
10:28:45,65.3
10:28:46,65.4
10:28:47,65.4
10:28:48,65.3
10:28:49,65.4
10:28:50,65.3
10:28:51,65.4
10:28:52,65.3
10:28:53,65.2
10:28:54,65.4
10:28:55,65.4
10:28:56,65.4
10:28:57,66.1
10:28:58,66.0
10:28:59,66.1
10:29:00,66.0
10:29:01,66.4
10:29:02,66.6
10:29:03,66.7
10:29:04,66.9
10:29:05,66.6
10:29:06,67.2
10:29:07,66.9
